area_se,texture_worst,concave points_worst,symmetry_worst
19.41,21.74,0.09993,0.2955
37.83,18.26,0.0829,0.3101
23.29,19.69,0.1017,0.1999
22.45,23.08,0.008772,0.2505
21.91,27.29,0.1155,0.2465
12.68,15.54,0.05366,0.2309
34.68,22.33,0.09314,0.2955
17.49,26.14,0.06203,0.3267
77.11,22.13,0.1021,0.2272
24.87,26.19,0.1489,0.2962
17.67,19.93,0.1056,0.338
13.88,25.75,0.0914,0.3101
13.38,17.48,0.06343,0.2369
17.74,16.93,0.05802,0.2823
11.09,14.82,0.03194,0.2143
20.56,25.26,0.0753,0.2636
20.56,24.22,0.03125,0.2227
28.32,23.07,0.07625,0.2685
10.08,24.54,0.06528,0.2213
22.93,21.61,0.05509,0.2208
18.21,31.62,0.04815,0.3244
15.5,20.45,0.025,0.2651
9.789,20.07,0.01389,0.2991
20.39,16.94,0.0221,0.2267
33.01,17.4,0.03532,0.2107
11.28,26.55,0.05741,0.3487
28.9,21.75,0.05813,0.253
25.18,16.4,0.08411,0.2564
9.438,12.87,0.04715,0.339
17.81,22.44,0.0,0.3142
12.69,19.71,0.02784,0.1917
15.82,16.47,0.01852,0.2293
24.2,23.4,0.1145,0.3135
31.16,20.21,0.02832,0.1901
22.68,20.61,0.09744,0.2608
16.57,21.08,0.1155,0.2382
19.01,21.38,0.05556,0.2661
17.61,21.1,0.05602,0.2688
23.92,18.0,0.0589,0.21
16.97,22.25,0.02796,0.2171
20.65,21.95,0.09858,0.3596
19.62,25.78,0.02022,0.3292
15.07,22.06,0.01667,0.2815
13.24,28.46,0.03983,0.2554
14.41,16.91,0.0585,0.2432
16.85,26.84,0.06499,0.2894
32.14,21.51,0.1414,0.3053
12.07,23.07,0.0812,0.2982
10.8,19.9,0.1075,0.3301
24.53,18.16,0.07864,0.2765
19.33,19.48,0.04074,0.2434
18.02,27.06,0.05093,0.288
29.06,17.93,0.1251,0.3109
12.25,20.79,0.06548,0.2851
26.65,17.72,0.04766,0.3124
26.03,19.74,0.04262,0.2731
28.84,15.82,0.03922,0.2576
27.49,22.43,0.09265,0.2121
21.57,24.85,0.1258,0.3113
20.74,25.58,0.05556,0.2362
30.18,17.7,0.04762,0.2434
30.48,25.02,0.05052,0.2454
28.3,20.98,0.01635,0.2233
20.98,29.2,0.05614,0.2637
17.26,25.99,0.08312,0.2744
33.58,25.45,0.09123,0.2394
13.22,21.7,0.06987,0.2741
18.57,24.04,0.08829,0.3218
17.72,15.73,0.08178,0.2487
14.0,20.21,0.06987,0.3323
14.91,19.14,0.1251,0.3153
7.228,22.82,0.1465,0.2597
14.91,35.63,0.05781,0.2694
11.35,19.64,0.1054,0.3387
16.04,20.53,0.1318,0.3343
11.68,20.83,0.06754,0.3202
9.549,28.71,0.1092,0.2191
19.2,23.13,0.09804,0.2819
15.26,17.37,0.09173,0.2736
19.96,19.29,0.0914,0.2677
23.12,19.97,0.04537,0.2542
22.97,18.93,0.08272,0.2157
11.88,15.65,0.06696,0.2937
28.85,22.8,0.0,0.2445
22.22,25.8,0.06266,0.3049
12.67,25.34,0.07911,0.2523
19.29,27.2,0.1453,0.2666
30.57,21.06,0.08296,0.1988
12.98,20.35,0.05556,0.259
25.06,24.49,0.05356,0.2779
18.95,20.14,0.06876,0.246
20.21,24.61,0.06608,0.3207
11.36,23.02,0.08388,0.3297
30.15,16.85,0.04793,0.2298
25.78,25.58,0.07887,0.2251
21.83,19.58,0.1129,0.2778
41.24,27.01,0.05601,0.2488
25.79,28.88,0.09532,0.3455
13.66,36.32,0.08698,0.2973
13.54,26.44,0.07431,0.2998
6.802,27.99,0.02564,0.2376
28.51,31.55,0.1308,0.3163
19.53,27.21,0.08263,0.3075
25.17,31.24,0.0377,0.2872
17.37,16.92,0.08224,0.2775
18.99,28.92,0.04306,0.2976
20.3,26.98,0.06664,0.3035
49.45,18.34,0.1108,0.2827
15.89,19.67,0.1105,0.2787
19.36,25.5,0.1407,0.2744
43.52,23.17,0.04589,0.3196
11.6,28.94,0.02579,0.2349
20.77,21.57,0.0931,0.302
20.2,32.04,0.07485,0.2965
9.704,20.29,0.04044,0.2383
23.24,20.96,0.03612,0.2165
15.43,22.91,0.0737,0.2556
23.92,20.54,0.07971,0.2525
26.5,24.38,0.06384,0.3313
32.74,21.58,0.07453,0.2725
29.63,28.01,0.0589,0.2513
19.25,19.31,0.08216,0.2136
18.15,26.87,0.1555,0.254
29.34,17.5,0.03312,0.1859
13.12,23.31,0.02222,0.2699
19.39,30.36,0.1202,0.2599
19.75,22.74,0.08308,0.36
23.04,28.39,0.09594,0.2471
20.24,28.18,0.0875,0.2305
13.86,37.88,0.07116,0.2447
25.7,16.93,0.1069,0.2606
13.32,22.15,0.09851,0.327
28.93,41.61,0.07763,0.2196
23.13,38.81,0.06835,0.2884
17.58,34.23,0.06005,0.2444
21.19,31.88,0.05921,0.2306
11.28,36.92,0.04866,0.2321
20.52,31.98,0.05563,0.2345
12.89,24.02,0.08288,0.321
16.89,23.89,0.1045,0.2235
23.81,25.5,0.1357,0.2845
27.4,25.46,0.1181,0.2563
20.98,24.62,0.025,0.3057
27.85,25.4,0.1416,0.266
22.73,25.62,0.0656,0.3174
44.96,33.33,0.05547,0.2404
23.31,18.22,0.1147,0.2688
35.13,38.05,0.0,0.2409
9.597,19.35,0.07966,0.2581
11.64,19.35,0.09783,0.3006
31.01,27.26,0.1339,0.2534
14.03,21.8,0.06222,0.2679
14.34,21.9,0.07431,0.2941
16.26,27.87,0.0569,0.2406
28.41,26.42,0.0815,0.2356
12.84,18.32,0.1335,0.3227
20.64,23.53,0.09077,0.2518
13.87,14.2,0.1452,0.2557
30.19,21.03,0.1342,0.3231
19.98,25.44,0.07828,0.2455
27.57,21.59,0.09815,0.2804
18.04,31.99,0.06335,0.31
50.95,18.42,0.08341,0.1783
24.6,16.36,0.0268,0.228
26.07,28.46,0.04195,0.2687
21.84,28.48,0.1017,0.2369
18.4,22.15,0.1407,0.323
11.91,24.34,0.1053,0.3035
34.84,20.43,0.1018,0.2177
18.49,21.4,0.08411,0.3155
20.04,16.38,0.1025,0.3038
17.67,18.04,0.1075,0.2848
12.58,24.17,0.08088,0.2709
12.3,20.74,0.09514,0.278
20.67,17.76,0.1357,0.23
13.04,17.6,0.1056,0.2604
20.72,17.58,0.07955,0.2334
37.11,17.24,0.09186,0.2626
18.19,23.03,0.08542,0.306
34.37,24.37,0.1096,0.2582
28.62,21.74,0.08045,0.3071
19.63,17.84,0.07262,0.3681
9.332,26.43,0.02832,0.2557
26.45,25.63,0.1284,0.2849
15.24,22.99,0.06528,0.2502
7.254,18.45,0.08512,0.2983
16.07,25.16,0.1427,0.3518
8.955,19.27,0.107,0.311
44.74,15.38,0.1015,0.216
18.54,15.77,0.07393,0.2781
30.66,27.98,0.101,0.2478
15.34,28.81,0.0812,0.3206
17.25,20.2,0.08704,0.2806
10.09,26.51,0.09861,0.2289
20.95,32.19,0.1308,0.2803
19.14,30.92,0.0,0.3058
11.73,31.89,0.05,0.279
20.86,19.68,0.06918,0.2329
23.11,31.73,0.1205,0.3187
27.41,32.29,0.1095,0.2722
17.85,37.17,0.07958,0.2473
23.12,24.75,0.06845,0.2249
31.24,29.09,0.07174,0.2642
12.97,21.77,0.02381,0.2681
7.326,22.04,0.08333,0.2691
18.24,25.59,0.03846,0.2552
33.0,31.45,0.03264,0.3059
20.67,24.77,0.0,0.2458
17.85,28.26,0.06413,0.3169
18.76,36.0,0.06498,0.2407
17.86,25.05,0.02564,0.2435
16.83,35.74,0.06493,0.2372
14.46,34.91,0.09127,0.2226
16.8,22.88,0.02232,0.2262
29.11,34.24,0.0,0.2475
19.54,27.27,0.1105,0.2258
16.97,37.16,0.09653,0.2112
29.84,33.17,0.1048,0.225
22.81,38.3,0.0,0.1566
19.15,30.37,0.0,0.2871
